model,question_id,turn,category,judge_template,gpt4_score,mini_score,nano_score
qwen3-4b-base,81,1,writing,single-v1,10.0,6,6
qwen3-4b-base,82,1,writing,single-v1,10.0,10,8
qwen3-4b-base,83,1,writing,single-v1,10.0,8,7
qwen3-4b-base,84,1,writing,single-v1,9.0,6,7
qwen3-4b-base,85,1,writing,single-v1,9.0,9,8
qwen3-4b-base,86,1,writing,single-v1,9.0,8,9
qwen3-4b-base,87,1,writing,single-v1,9.0,6,7
qwen3-4b-base,88,1,writing,single-v1,8.5,6,6
qwen3-4b-base,89,1,writing,single-v1,9.0,6,3
qwen3-4b-base,90,1,writing,single-v1,9.0,7,8
qwen3-4b-base,91,1,roleplay,single-v1,8.0,6,6
qwen3-4b-base,92,1,roleplay,single-v1,9.0,5,7
qwen3-4b-base,93,1,roleplay,single-v1,10.0,6,4
qwen3-4b-base,94,1,roleplay,single-v1,10.0,8,7
qwen3-4b-base,95,1,roleplay,single-v1,10.0,6,6
qwen3-4b-base,96,1,roleplay,single-v1,7.0,7,7
qwen3-4b-base,97,1,roleplay,single-v1,10.0,7,7
qwen3-4b-base,98,1,roleplay,single-v1,8.0,5,5
qwen3-4b-base,99,1,roleplay,single-v1,3.0,6,6
qwen3-4b-base,100,1,roleplay,single-v1,4.0,3,3
qwen3-4b-base,131,1,extraction,single-v1,10.0,10,10
qwen3-4b-base,132,1,extraction,single-v1,1.0,1,1
qwen3-4b-base,133,1,extraction,single-v1,7.0,10,10
qwen3-4b-base,134,1,extraction,single-v1,1.0,9,2
qwen3-4b-base,135,1,extraction,single-v1,9.0,10,7
qwen3-4b-base,136,1,extraction,single-v1,9.0,6,7
qwen3-4b-base,137,1,extraction,single-v1,8.0,6,7
qwen3-4b-base,138,1,extraction,single-v1,9.0,8,8
qwen3-4b-base,139,1,extraction,single-v1,8.0,7,7
qwen3-4b-base,140,1,extraction,single-v1,1.0,2,3
qwen3-4b-base,141,1,stem,single-v1,9.0,8,8
qwen3-4b-base,142,1,stem,single-v1,10.0,8,8
qwen3-4b-base,143,1,stem,single-v1,10.0,8,8
qwen3-4b-base,144,1,stem,single-v1,1.0,1,1
qwen3-4b-base,145,1,stem,single-v1,10.0,8,9
qwen3-4b-base,146,1,stem,single-v1,10.0,8,8
qwen3-4b-base,147,1,stem,single-v1,10.0,8,7
qwen3-4b-base,148,1,stem,single-v1,10.0,6,6
